input,normalized,gt_label
i want to bathe,i want to bathe,bathing
i wantto bathe,i want bathe,bathing
i wnat to bathe,i what to bathe,bathing
i want to bath,i want to bathe,bathing
i have a bed time routine,i have a bed time routine,bed time routine
i have a bed tim routine,i have a bed time routine,bed time routine
i have a bde time routine,i have a be time routine,bed time routine
i have abed time routine,i have bed time routine,bed time routine
tell me a story,tell me a story,bed time story book
tell m a story,tell m a story,bed time story book
tell me a stor,tell me a story,bed time story book
i want to go to bed,i want to go to bed,bed
i watn to go to bed,i what to go to bed,bed
i want to go t bed,i want to go t bed,bed
i want to go to bed,i want to go to bed,bed
i want to ride bicycle,i want to ride bicycle,bicycle
i want t ride bicycle,i want t ride bicycle,bicycle
i want to ridebicycle,i want to bicycle,bicycle
i want to rd bicycle,i want to red bicycle,bicycle
i want to go in bike,i want to go in bike,bike
i want to go in bike,i want to go in bike,bike
i want t go in bike,i want t go in bike,bike
cover me with blankets,cover me with blankets,blanket
cover me with blanket,cover me with blanket,blanket
cover me with blnkts,cover me with blankets,blanket
cover me withblankets,cover me blankets,blanket
shall we go in car,shall we go in car,car
shall we goin car,shall we goin car,car
shall we go i car,shall we go i car,car
crumble it,crumble it,crumble
crumbel it,crumble it,crumble
crumble t,crumble t,crumble
crumbl it,crumble it,crumble
its in my cupboard,its in my cupboard,cupboard
tis in my cupboard,this in my cupboard,cupboard
its in m cupboard,its in m cupboard,cupboard
its in my cupbaord,its in my cupboard,cupboard
i want to dance,i want to dance,dance
i want todance,i want dance,dance
i want to dnc,i want to dance,dance
 want to dance,want to dance,dance
its on the desk,its on the desk,desk
tis on the desk,this on the desk,desk
its on the edsk,its on the desk,desk
its on thedesk,its on thedesk,desk
open the door,open the door,door
open teh door,open teeth door,door
open the doo,open the door,door
open th door,open the door,door
good drama,good drama,drama
good dram,good drama,drama
gooddrama,gooddrama,drama
i am done eating,i am done eating,eating
iam done eating,am done eating,eating
i m done eating,i m done eating,eating
i am doneeating,i am eating,eating
lets go in escalator,lets go in escalator,escalator
lets go in escalato,lets go in escalator,escalator
let go in escalator,lets go in escalator,escalator
ltes go in escalator,lets go in escalator,escalator
i want to do some exercise,i want to do some exercise,exercises
i want to d some exercise,i want to d some exercise,exercises
i want to dosome exercise,i want to some exercise,exercises
i wan to do some exercise,i want to do some exercise,exercises
switch on the fan,switch on the fan,fan
switch on the fa,switch on the fan,fan
switch on the fan,switch on the fan,fan
its inside the fridge,its inside the fridge,fridge
its inside hte fridge,its inside white fridge,fridge
it inside the fridge,it inside the fridge,fridge
there are some garbage in the bin,there are some garbage in the bin,garbage in the bin
there are some garbage in teh bin,there are some garbage in teeth bin,garbage in the bin
there are some garbage in the bn,there are some garbage in the bin,garbage in the bin
there are some garbage n the bin,there are some garbage n the bin,garbage in the bin
i am getting ready,i am getting ready,getting ready
i am getting read,i am getting read,getting ready
i am getting ready,i am getting ready,getting ready
its so golden,its so golden,golden
itsso golden,its golden,golden
its so golde,its so golden,golden
its the green light,its the green light,green light- go
its the green light,its the green light,green light- go
its th green light,its the green light,green light- go
grind it,grind it,grinder
grnd it,grind it,grinder
grindit,grind,grinder
its my habit,its my habit,habits
tis my habit,this my habit,habits
its my habi,its my habit,habits
its my hbt,its my habit,habits
i am happy,i am happy,happy
i am happ,i am happy,happy
i am hppy,i am happy,happy
iam happy,am happy,happy
its very hazards,its very hazards,hazards
itsvery hazards,itsvery hazards,hazards
its ver hazards,its very hazards,hazards
switch on the heater,switch on the heater,heater
switch on teh heater,switch on teeth heater,heater
switch onthe heater,switch month heater,heater
switchon the heater,switch the heater,heater
can you take me for hiking,can you take me for hiking,hiking
can you take me for hiking,can you take me for hiking,hiking
can you take m for hiking,can you take m for hiking,hiking
its so hot,its so hot,hot
its sohot,its hot,hot
ts so hot,its so hot,hot
how long,how long,how long
how lng,how long,how long
how lon,how long,how long
how many,how many,how many
ohw many,ohw many,how many
hwo many,hwo many,how many
ho many,how many,how many
how much is it,how much is it,how much
how muchis it,how much it,how much
ho much is it,how much is it,how much
hw much is it,how much is it,how much
how,how,how
ho,how,how
hwo,hwo,how
hw,how,how
i am all done,i am all done,i am all done
i a all done,i a all done,i am all done
i amall done,i mall done,i am all done
i m all done,i m all done,i am all done
can you keep distance while talking,can you keep distance while talking,keep distance while talking
can you keep distance while tlkng,can you keep distance while talking,keep distance while talking
can you keep disatnce while talking,can you keep distance while talking,keep distance while talking
can you keep distancewhile talking,can you keep distance talking,keep distance while talking
i am doing leg exercise,i am doing leg exercise,leg exercises
i am doing leg exercise,i am doing leg exercise,leg exercises
i am doing lg exercise,i am doing leg exercise,leg exercises
come lets dance,come lets dance,lets dance
com lets dance,come lets dance,lets dance
come letsdance,come lets dance,lets dance
come lets adnce,come lets dance,lets dance
switch on the light,switch on the light,light
swtch on the light,switch on the light,light
switch on the lght,switch on the light,light
make some music,make some music,make music
makesome music,awesome music,make music
make some musi,make some music,make music
menu pls,menu pls,menu
menu lps,menu lps,menu
menupls,menupls,menu
